zip,latitude,longitude,,,city
10921,41.3292,-74.3651,Florida,NY,Florida (NY)
10922,41.32794,-73.99604,Fort Montgomery,NY,Fort Montgomery (NY)
10923,41.20265,-74.00031,Garnerville,NY,Garnerville (NY)
10924,41.3788,-74.3512,Goshen,NY,Goshen (NY)
10925,41.20076,-74.29535,Greenwood Lake,NY,Greenwood Lake (NY)
10926,41.25856,-74.1307,Harriman,NY,Harriman (NY)
10927,41.19263,-73.96735,Haverstraw,NY,Haverstraw (NY)
10928,41.3457,-74.00265,Highland Falls,NY,Highland Falls (NY)
10930,41.3667,-74.11035,Highland Mills,NY,Highland Mills (NY)
10931,41.12769,-74.17012,Hillburn,NY,Hillburn (NY)
10932,41.4820,-74.46352,Howells,NY,Howells (NY)
10933,41.36527,-74.51106,Johnson,NY,Johnson (NY)
10940,41.45149,-74.46997,Middletown,NY,Middletown (NY)
10941,41.48923,-74.34556,Middletown,NY,Middletown (NY)
10950,41.31919,-74.19825,Monroe,NY,Monroe (NY)
10952,41.11385,-74.07975,Monsey,NY,Monsey (NY)
10953,41.40581,-74.07783,Mountainville,NY,Mountainville (NY)
10954,41.09969,-74.01269,Nanuet,NY,Nanuet (NY)
10956,41.15562,-73.99314,New City,NY,New City (NY)
10958,41.3764,-74.42881,New Hampton,NY,New Hampton (NY)
10960,41.08892,-73.92642,Nyack,NY,Nyack (NY)
10962,41.04857,-73.96057,Orangeburg,NY,Orangeburg (NY)
10963,41.4669,-74.54121,Otisville,NY,Otisville (NY)
10964,41.01642,-73.91431,Palisades,NY,Palisades (NY)
10965,41.06176,-74.01286,Pearl River,NY,Pearl River (NY)
10968,41.03976,-73.91804,Piermont,NY,Piermont (NY)
10969,41.2920,-74.48879,Pine Island,NY,Pine Island (NY)
10970,41.1852,-74.06568,Pomona,NY,Pomona (NY)
10973,41.38442,-74.47566,Slate Hill,NY,Slate Hill (NY)
10974,41.15826,-74.18993,Sloatsburg,NY,Sloatsburg (NY)
10975,41.25951,-74.17042,Southfields,NY,Southfields (NY)
10976,41.02871,-73.92594,Sparkill,NY,Sparkill (NY)
10977,41.11749,-74.04825,Spring Valley,NY,Spring Valley (NY)
10979,41.18237,-74.31877,Sterling Forest,NY,Sterling Forest (NY)
10980,41.23157,-74.05709,Stony Point,NY,Stony Point (NY)
10983,41.02747,-73.94826,Tappan,NY,Tappan (NY)
10984,41.20928,-74.02008,Thiells,NY,Thiells (NY)
10985,41.57697,-74.35782,Thompson Ridge,NY,Thompson Ridge (NY)
10986,41.27917,-73.99445,Tomkins Cove,NY,Tomkins Cove (NY)
10987,41.20737,-74.22284,Tuxedo Park,NY,Tuxedo Park (NY)
10988,41.30133,-74.56218,Unionville,NY,Unionville (NY)
10989,41.12479,-73.93632,Valley Cottage,NY,Valley Cottage (NY)
10990,41.2651,-74.3663,Warwick,NY,Warwick (NY)
10992,41.42648,-74.16567,Washingtonville,NY,Washingtonville (NY)
10993,41.21011,-73.97565,West Haverstraw,NY,West Haverstraw (NY)
10994,41.09702,-73.97322,West Nyack,NY,West Nyack (NY)
10996,41.38996,-73.97257,West Point,NY,West Point (NY)
10998,41.33118,-74.53989,Westtown,NY,Westtown (NY)
