city name,postcode,latitude,longitude
EREAC,22250,48.274286886, -2.343934976
LANRELAS,22250,48.246159706, -2.295194597
SEVIGNAC,22250,48.332359693, -2.319798664
ROUILLAC,22250,48.306583785, -2.369103265
TREDIAS,22250,48.365029092, -2.22318559
BROONS,22250,48.311312015, -2.240918454
TREMEUR,22250,48.350654175, -2.268543337
PLOUEC DU TRIEUX,22260,48.672183038, -3.187594155
QUEMPER GUEZENNEC,22260,48.699959286, -3.108934343
PLOEZAL,22260,48.716832645, -3.180858529
RUNAN,22260,48.686788237, -3.227091755
ST CLET,22260,48.66983713, -3.137436531
PONTRIEUX,22260,48.699798194, -3.15915353
JUGON LES LACS COMMUNE NOUVELLE,22270,48.406110996, -2.326902147
MEGRIT,22270,48.389735749, -2.267409842
JUGON LES LACS COMMUNE NOUVELLE,22270,48.406110996, -2.326902147
JUGON LES LACS COMMUNE NOUVELLE,22270,48.406110996, -2.326902147
JUGON LES LACS COMMUNE NOUVELLE,22270,48.406110996, -2.326902147
PLEDELIAC,22270,48.468676854, -2.371622581
ST RIEUL,22270,48.442755413, -2.420466653
GOUDELIN,22290,48.603446979, -3.022823933
TREGUIDEL,22290,48.600294517, -2.942781682
TREMEVEN,22290,48.671359237, -3.032182909
TRESSIGNAUX,22290,48.610435981, -2.975254412
LANLEFF,22290,48.693054909, -3.046367898
PLEHEDEL,22290,48.694654588, -3.006755586
GOMMENEC H,22290,48.637393035, -3.04781756
LANVOLLON,22290,48.633506703, -2.990158549
PLEGUIEN,22290,48.634839291, -2.948372029
PLUDUAL,22290,48.666240012, -2.986208201
ST GILLES LES BOIS,22290,48.657131642, -3.090866393
TREVEREC,22290,48.659311424, -3.055160991
LE FAOUET,22290,48.67894472, -3.073897699
LANNEBERT,22290,48.650554383, -3.009094544
LANNION,22300,48.743719598, -3.46130389
TREDREZ LOCQUEMEAU,22300,48.70786489, -3.563569387
LANMERIN,22300,48.739896973, -3.357535431
PLOULEC H,22300,48.71803918, -3.500180988
PLOUMILLIAU,22300,48.683792046, -3.513471005
CAOUENNEC LANVEZEAC,22300,48.705893906, -3.367553771
CAOUENNEC LANVEZEAC,22300,48.705893906, -3.367553771
PLOULEC H,22300,48.71803918, -3.500180988
ROSPEZ,22300,48.735707442, -3.386852444
ST MICHEL EN GREVE,22300,48.674343414, -3.55664739
LANNION,22300,48.743719598, -3.46130389
PLOUBEZRE,22300,48.685542393, -3.448411567
TREDREZ LOCQUEMEAU,22300,48.70786489, -3.563569387
PLESTIN LES GREVES,22310,48.647713454, -3.620177657
PLUFUR,22310,48.610933451, -3.572433927
PLESTIN LES GREVES,22310,48.647713454, -3.620177657
TREMEL,22310,48.60491008, -3.617901524
TREDUDER,22310,48.654793702, -3.566579335
ST MARTIN DES PRES,22320,48.305324307, -2.964676113
LE BODEO,22320,48.326240143, -2.921354841
LE HAUT CORLAY,22320,48.340493232, -3.03212617
PLUSSULIEN,22320,48.278224784, -3.065549062
CORLAY,22320,48.309913353, -3.037663372
LA HARMOYE,22320,48.346019399, -2.968783102
ST MAYEUX,22320,48.264036049, -3.015630501
LE MENE,22330,48.282633111, -2.531186445
LE MENE,22330,48.282633111, -2.531186445
LE MENE,22330,48.282633111, -2.531186445
LE MENE,22330,48.282633111, -2.531186445
LE MENE,22330,48.282633111, -2.531186445
LE MENE,22330,48.282633111, -2.531186445
LE MENE,22330,48.282633111, -2.531186445
MAEL CARHAIX,22340,48.288071267, -3.410397882
TREBRIVAN,22340,48.31013059, -3.480978972
LE MOUSTOIR,22340,48.273660501, -3.49127303
LOCARN,22340,48.332425147, -3.409971201
TREFFRIN,22340,48.29850839, -3.526766904
TREOGAN,22340,48.186935466, -3.529372716
PAULE,22340,48.227635809, -3.460930916
PLEVIN,22340,48.223693027, -3.516379949
GUENROC,22350,48.313634373, -2.080696693
GUITTE,22350,48.290858999, -2.102009002
ST JOUAN DE L ISLE,22350,48.266376098, -2.178676718
PLUMAUDAN,22350,48.356482801, -2.115088618
LA CHAPELLE BLANCHE,22350,48.268305714, -2.128438871
ST MADEN,22350,48.337612863, -2.068751658
CAULNES,22350,48.302142635, -2.160425566
YVIGNAC LA TOUR,22350,48.349073, -2.170540712
LANGUEUX,22360,48.5000312, -2.709716021
LANGUEUX,22360,48.5000312, -2.709716021
PLENEUF VAL ANDRE,22370,48.583591123, -2.529606692
ST CAST LE GUILDO,22380,48.60362037, -2.248600685
ST CAST LE GUILDO,22380,48.60362037, -2.248600685
BOURBRIAC,22390,48.466140899, -3.199849798
PONT MELVEZ,22390,48.474317873, -3.284974982
ST ADRIEN,22390,48.489391674, -3.132212629
GURUNHUEL,22390,48.508439203, -3.288755414
HENANSAL,22400,48.537926258, -2.447839535
LAMBALLE ARMOR,22400,48.485734593, -2.472990332
LAMBALLE ARMOR,22400,48.485734593, -2.472990332
LAMBALLE ARMOR,22400,48.485734593, -2.472990332
LAMBALLE ARMOR,22400,48.485734593, -2.472990332
LAMBALLE ARMOR,22400,48.485734593, -2.472990332
LANDEHEN,22400,48.422074366, -2.541774632
ST DENOUAL,22400,48.518755854, -2.383679307
QUINTENIC,22400,48.510245829, -2.42140181
ANDEL,22400,48.49410569, -2.551043716
COETMIEUX,22400,48.48660486, -2.592206508
LAMBALLE ARMOR,22400,48.485734593, -2.472990332
LAMBALLE ARMOR,22400,48.485734593, -2.472990332
LAMBALLE ARMOR,22400,48.485734593, -2.472990332
NOYAL,22400,48.451110783, -2.463797774
ST ALBAN,22400,48.554724543, -2.508754851
LAMBALLE ARMOR,22400,48.485734593, -2.472990332
TREVENEUC,22410,48.659853811, -2.873919052
PLOURHAN,22410,48.631090986, -2.881998192
ST QUAY PORTRIEUX,22410,48.654096289, -2.84326682
ST QUAY PORTRIEUX,22410,48.654096289, -2.84326682
LANTIC,22410,48.60420815, -2.898801204
LANTIC,22410,48.60420815, -2.898801204
PLOUARET,22420,48.619491788, -3.483272817
LE VIEUX MARCHE,22420,48.613571316, -3.438163224
LANVELLEC,22420,48.606768949, -3.52790284
PLOUZELAMBRE,22420,48.647968105, -3.536868904
TREGROM,22420,48.594852208, -3.402678522
ERQUY,22430,48.619417039, -2.458382714
ERQUY,22430,48.619417039, -2.458382714
ERQUY,22430,48.619417039, -2.458382714
LA MEAUGON,22440,48.504424135, -2.846723287
PLOUFRAGAN,22440,48.487289354, -2.808099038
PLOUFRAGAN,22440,48.487289354, -2.808099038
TREMUSON,22440,48.524530239, -2.848563502
CAMLEZ,22450,48.783206246, -3.315401686
COATREVEN,22450,48.763417042, -3.32597473
LA ROCHE JAUDY,22450,48.731681808, -3.233237382
LA ROCHE JAUDY,22450,48.731681808, -3.233237382
LA ROCHE JAUDY,22450,48.731681808, -3.233237382
LA ROCHE JAUDY,22450,48.731681808, -3.233237382
LANGOAT,22450,48.734972054, -3.297972166
TROGUERY,22450,48.759726244, -3.224558185
KERMARIA SULARD,22450,48.773490968, -3.373389455
MANTALLOT,22450,48.71048125, -3.292636862
QUEMPERVEN,22450,48.725723061, -3.336661973
TREZENY,22450,48.754383331, -3.361108888
UZEL,22460,48.280960499, -2.847817638
ALLINEUC,22460,48.311573307, -2.867064963
GRACE UZEL,22460,48.250373749, -2.794165533
MERLEAC,22460,48.272646106, -2.911188349
ST HERVE,22460,48.274153231, -2.812255966
ST THELO,22460,48.246378672, -2.840953157
LE QUILLIO,22460,48.240376846, -2.897916144
